wavelength [μm],Cabs [μm^2],Csca [μm^2],g [1]
0.2,219.22791962251375,341.56125049386316,0.8639272058763157
0.20349268054952147,222.36127273463313,338.581621193701,0.867568287171652
0.20704635518614775,226.70844247586882,334.3105044897289,0.8753124821464496
0.21066208907418743,232.52297269180406,328.4891393650397,0.8898480062423055
0.2143409659793422,236.0556563119464,324.9905201922456,0.8987186837285484
0.21808408859355052,239.4897994228361,321.5845642828742,0.9082712659655571
0.22189257886550445,241.8455258450578,319.26178965924504,0.9152852298326207
0.22576757833693778,242.6763214379663,318.4818875234654,0.9180562274116737
0.2297102484847876,241.94640275363304,319.28996447339364,0.9164737615043278
0.23372177106933037,239.65725002940547,321.7038739562741,0.9102853240126586
0.23780334848839801,236.6061265531411,324.91511864210753,0.9015998759400788
0.24195620413778032,233.58561533487762,328.1103385345556,0.8925666426203882
0.2461815827779205,230.94938563376485,330.9212186349923,0.8841109470456758
0.25048075090701466,228.63945288057516,333.39458889153286,0.8759763170641783
0.25485499714062676,228.15516498525238,333.9859343005491,0.8732639767999562
0.25930563259793366,228.95830854739222,333.24908424846024,0.874070517578173
0.26383399129471435,230.69279484056085,331.5588845187683,0.8778599089893484
0.2684414305432025,232.7759642968942,329.52770953595683,0.8831535399533582
0.27312933135892214,235.0010608334877,327.3684318851781,0.8891853071741764
0.27789909887462755,236.65990414389523,325.79198788782844,0.8937254997674936
0.28275216276147214,237.80611102419022,324.73652936318916,0.8967830482709505
0.2876899776575326,238.5385021101817,324.0999338396859,0.8985989980205606
0.29271402360381604,238.8598384942905,323.8794585891565,0.8991894801709593
0.29782580648788193,239.17949840613494,323.6611661838672,0.8997526615447126
0.30302685849521066,239.51675086585067,323.42563908677585,0.9003467985918004
0.30831873856845454,240.2357666626272,322.80521917562425,0.9020036595862696
0.3137030328747095,240.8148496364933,322.33343668173853,0.9033810471240882
0.31918135528094627,241.37143356099023,321.88613617727526,0.9046909751418152
0.3247553478377444,241.94316163091958,321.42478212777075,0.9060175654315479
0.33042668127147407,242.51382072960905,320.9655390295916,0.9073081799599273
0.3361970554850729,243.08090549451435,320.510838720518,0.9085553624562221
0.34206820006756816,243.64533725241557,320.05976847343555,0.909769426491552
0.34804187481249704,244.20770057377246,319.6118071422624,0.9109651519996562
0.3541198702453798,244.76837687493446,319.16666511477115,0.9121603622191766
0.36030400816040503,245.33247550444474,318.7193099130373,0.9133854685070074
0.3665961421664873,245.89974315068667,318.2701047413796,0.9146510965268765
0.3729981582428595,246.46611879466718,317.8232232212017,0.915947318705231
0.3795119753043701,247.03172914711172,317.3785647508877,0.9172702598236442
0.38613954577665,247.5966802743879,316.9359837143091,0.9186121350817568
0.3928828561813256,248.16108084927777,316.4952893503591,0.9199565899912784
0.3997439277314502,248.6831218565249,316.0985666144308,0.9211515290721026
0.4067248169373347,248.91300092260383,315.997958090418,0.9214196929370944
0.413827616222958,249.087912866652,315.9542512899834,0.921494307692728
0.4210544545531415,249.2588189779837,315.91597261432145,0.9215285218897924
0.42840749807167683,249.4283441680605,315.8804944831216,0.9215289891439326
0.43588895075059714,249.59309365765574,315.8512762301007,0.9214815527863554
0.44350105505078646,249.75397910609013,315.8274022614345,0.9213804560249861
0.4512460925941269,249.91195498325948,315.80792510418433,0.9212190168967803
0.459126384847382,250.06887227713236,315.79090226195075,0.9209925505321787
0.4671442938180245,250.2287525508719,315.77226131086167,0.9207098607103356
0.475302222762215,250.38195393858047,315.7617379517831,0.9203561210240075
0.48360261690514417,250.53002319279062,315.7578872161648,0.9199368777274606
0.4920479641739553,250.6765180173744,315.75722359383803,0.9194625541087043
0.500640795943465,250.82450806556898,315.7566374835274,0.9189304175173102
0.5093836877949082,250.97688130869005,315.7533365826465,0.9183188611588239
0.5182792602879318,251.13064006980625,315.75039675704517,0.9176074272354255
0.5273301797460717,251.28274778200102,315.75071927751014,0.9168018157485128
0.5365391590559452,251.4383749319577,315.74917307029796,0.9159282576120739
0.5459089584804016,251.59340034296127,315.7499996939544,0.9150084884172434
0.5554423864858712,251.74621946986156,315.7548840041818,0.9140612896948633
0.5651423005841657,251.89685600106537,315.76399008017967,0.9130814313019049
0.575011608188976,252.04393582093775,315.7786481625589,0.9120546744225949
0.5850532674873292,252.1886615561358,315.7975686415077,0.9109792301601702
0.5952702883262637,252.3532544382952,315.79823561196207,0.9098841913900731
0.6056657331149892,252.58018367728636,315.7376005282958,0.9088464795844649
0.6162427177428007,252.73250981312896,315.75484651081143,0.9076569044163955
0.627004412513023,252.858783079589,315.80054132155897,0.9064613707600236
0.6379540430932644,252.98669118037157,315.846919376573,0.9052870060803009
0.6490948914822663,253.1163577494437,315.89396484163507,0.9041391585941955
0.6604302969936352,253.24493495632754,315.9443287896153,0.9030332744798372
0.6719636572567564,253.37372044750572,315.9967680774458,0.9019487829243585
0.6836984292351859,253.5041377940952,316.04984424459883,0.9008592373837421
0.6956381302628262,253.63606893950026,316.10360072653674,0.8997563926888851
0.707786339098198,253.7695766796985,316.1581124338486,0.8986456345496311
0.720146696997124,253.9046229231506,316.2134478183934,0.8975371635736702
0.7327229088041434,254.04128033550967,316.26969162238186,0.8964430897559867
0.7455187440629881,254.17969588037317,316.3268664938646,0.8953719873012572
0.7585380381464499,254.31985041943335,316.3849630461908,0.8943250207636737
0.7717846934059808,254.46187629816478,316.4439559379219,0.8933006531513246
0.7852626803413676,254.60578100373624,316.5037641348735,0.8922911618016635
0.7989760387908342,254.7495140313007,316.5662586430318,0.8912920859793995
0.8129288791419261,254.89101468495699,316.6335518177249,0.8902830887246554
