wavelength [μm],Cabs [μm^2],Csca [μm^2],g [1]
0.2,212.21052234909558,348.6411766129675,0.8482560763018039
0.20349268054952147,218.0121971473883,342.99542744787186,0.8570943853660424
0.20704635518614775,224.41524751492267,336.64881552427556,0.8691059544767298
0.21066208907418743,231.92414951019305,329.1016721816859,0.8879518748654627
0.2143409659793422,236.3303744116293,324.71530785388,0.8991015629607557
0.21808408859355052,240.73934964642768,320.3219986777677,0.9114432051185594
0.22189257886550445,243.9368458874368,317.1421898698562,0.9209422179617931
0.22576757833693778,245.2297735094163,315.88230409975677,0.9251322793678685
0.2297102484847876,244.53749368615786,316.63701901600166,0.923839200855197
0.23372177106933037,241.83243755668275,319.46726766985364,0.9166463247147885
0.23780334848839801,238.16918077288915,323.30448491301104,0.9062953262386524
0.24195620413778032,234.56880041333062,327.09804093873623,0.8955502219661382
0.2461815827779205,231.4592813017171,330.39926104239163,0.8855600465404995
0.25048075090701466,228.52156288398066,333.5151878524763,0.8753087339294374
0.25485499714062676,227.8444630464807,334.29672443156136,0.8718914744285136
0.25930563259793366,228.55045314538006,333.64400052310907,0.8722468776659006
0.26383399129471435,230.30768768503674,331.91411513740695,0.87604475421901
0.2684414305432025,232.57163416431297,329.69224947756834,0.881903818196608
0.27312933135892214,235.22391226235635,327.1036069815454,0.8892452749994219
0.27789909887462755,237.2930730382139,325.1197233047107,0.8950135871814388
0.28275216276147214,238.7607559397834,323.74548383723914,0.8989718060160119
0.2876899776575326,239.69618776272648,322.9072784345316,0.9012192321345465
0.29271402360381604,240.07627207781462,322.6282539033845,0.9016578478962348
0.29782580648788193,240.41361774642087,322.39228223614964,0.9011815967639137
0.30302685849521066,240.597136897018,322.3108183651391,0.8973645576498787
0.30831873856845454,239.48816823262518,323.542371240389,0.8179157342860854
0.3137030328747095,237.79763403514772,325.3272630012744,0.793562073405727
0.31918135528094627,232.9318559563144,330.1437187634805,0.7708904664152014
0.3247553478377444,221.1506596544192,342.1726802599226,0.7573118399985512
0.33042668127147407,196.93275281141013,366.5307631202705,0.7402363007626522
0.3361970554850729,159.31954817656634,404.1579959875341,0.7301697896726207
0.34206820006756816,116.58785395125187,447.2441387269487,0.7197377861581643
0.34804187481249704,78.6470649436917,485.4012761035027,0.7080736495403708
0.3541198702453798,49.8059459275745,513.9030737828274,0.7099549548827236
0.36030400816040503,30.320402675456307,533.5214362647916,0.7148433815634984
0.3665961421664873,18.06904439091477,545.6517979704794,0.7204118504417735
0.3729981582428595,10.520759532340207,553.8021778230191,0.7265484804124395
0.3795119753043701,6.099807504397404,558.4445286295069,0.7307271248683047
0.38613954577665,3.5092613533587382,561.3029981857654,0.7382548263344565
0.3928828561813256,2.0080053659814894,562.5055362484686,0.7323845083127168
0.3997439277314502,1.153084918679383,562.8817876786062,0.7399763025982017
0.4067248169373347,1.0091847774153848,563.3712472995641,0.734776289311309
0.413827616222958,0.9395583772939062,563.2941199695492,0.7478068386195061
0.4210544545531415,0.8116250058092191,563.9233237027167,0.7380242690710257
0.42840749807167683,0.7490635009850166,565.4808300672488,0.7384971528135095
0.43588895075059714,0.7189424590254703,563.9374627421582,0.7394012787105403
0.44350105505078646,0.6457591912709404,565.4789598225648,0.7256294606255494
0.4512460925941269,0.6152686777040799,565.4907855491801,0.7395069274023036
0.459126384847382,0.5992719967348421,565.9165039103157,0.7280105419392331
0.4671442938180245,0.5762918577785285,565.195042045893,0.7257311989580452
0.475302222762215,0.5538185693887954,565.624129771624,0.7282731087796976
0.48360261690514417,0.5450771883444077,566.5191410723922,0.7115681185868624
0.4920479641739553,0.5382414990739335,565.8342048369539,0.7251981277824406
0.500640795943465,0.5299319725190799,565.7109571823314,0.7145730145945693
0.5093836877949082,0.5341659057939978,564.9179783639952,0.7082994694650203
0.5182792602879318,0.5384218102658451,567.3293407564561,0.7101770561260927
0.5273301797460717,0.5149430040090692,566.8454390233096,0.6977715287362803
0.5365391590559452,0.49459254788951057,566.271121981833,0.7089535065358636
0.5459089584804016,0.47342121960946315,567.6161171594309,0.7018802484652019
0.5554423864858712,0.48336413299387004,567.1666353033032,0.6978883671761803
0.5651423005841657,0.512615788402627,566.5652967236974,0.6986958713269071
0.575011608188976,0.47558957378385003,566.4130434917474,0.6906344233692318
0.5850532674873292,0.46777043541965213,568.6295574540492,0.6970604479367947
0.5952702883262637,0.44066979470585466,567.7990497153318,0.6938854789959443
0.6056657331149892,0.4061718542700419,568.7400209916316,0.6915143531982904
0.6162427177428007,0.4306704545339244,569.0438958557402,0.693222464943229
0.627004412513023,0.4399171035842073,568.4685685957631,0.6878869574148264
0.6379540430932644,0.4566508381633412,568.2994158098816,0.6925579727868739
0.6490948914822663,0.4693972746908912,568.6675770506945,0.6937211714570907
0.6604302969936352,0.48095639367693366,568.4923723909236,0.6858589857251436
0.6719636572567564,0.5200945349887434,569.185433019039,0.6947432086566641
0.6836984292351859,0.5300771476474893,568.2059087767328,0.6891192670885379
0.6956381302628262,0.546202132812482,571.0063006961908,0.6853393331100012
0.707786339098198,0.5818671140000333,570.4093865279111,0.6898389180058176
0.720146696997124,0.5811983144047872,569.6346443418435,0.6846415627504788
0.7327229088041434,0.5963393914611288,569.7169414198607,0.6917313665507839
0.7455187440629881,0.6213597525252226,568.5833437649557,0.6905823842451154
0.7585380381464499,0.6936229842707462,571.6681165384346,0.6856118350401891
0.7717846934059808,0.6398236749180342,571.7870102313153,0.6937054086733242
0.7852626803413676,0.6842019350790451,570.269603095957,0.6877820734648091
0.7989760387908342,0.6967696946404658,570.8217241286204,0.6869357899396583
