wavelength,n,k
3.800000000000000000e+02,nan,nan
3.821105527638191006e+02,nan,nan
3.842211055276382012e+02,nan,nan
3.863316582914573019e+02,nan,nan
3.884422110552764025e+02,nan,nan
3.905527638190955031e+02,nan,nan
3.926633165829145469e+02,nan,nan
3.947738693467336475e+02,nan,nan
3.968844221105527481e+02,nan,nan
3.989949748743718487e+02,nan,nan
4.011055276381909493e+02,1.610521875450156015e+00,4.240299598597535580e-04
4.032160804020100500e+02,1.609555693460629211e+00,4.458184555533197912e-04
4.053266331658291506e+02,1.608590924812499878e+00,4.705305278471950806e-04
4.074371859296482512e+02,1.607627851524692453e+00,4.983407791174248756e-04
4.095477386934673518e+02,1.606666824412319228e+00,5.293850962848779124e-04
4.116582914572864524e+02,1.605789493111654309e+00,5.637293744901104809e-04
4.137688442211054962e+02,1.604937261812989790e+00,6.013829039596369852e-04
4.158793969849245968e+02,1.604088501157523883e+00,6.422573851349901164e-04
4.179899497487436975e+02,1.603243765084298333e+00,6.861488600877106107e-04
4.201005025125627981e+02,1.602405422124422163e+00,7.327261078814881982e-04
4.222110552763818987e+02,1.601608374490376185e+00,7.815161392681061652e-04
4.243216080402009993e+02,1.600816928838920017e+00,8.319155593645335533e-04
4.264321608040200999e+02,1.600031472184598735e+00,8.831845648611147707e-04
4.285427135678392006e+02,1.599252263029510290e+00,9.344660293234288923e-04
4.306532663316583012e+02,1.598509443710835587e+00,9.847967228750423990e-04
4.327638190954774018e+02,1.597839900603786889e+00,1.033150008136464633e-03
4.348743718592965024e+02,1.597176307366036330e+00,1.078539273703714744e-03
4.369849246231156030e+02,1.596518146672179839e+00,1.119984458791476465e-03
4.390954773869346468e+02,1.595864690860752111e+00,1.156594243342102049e-03
4.412060301507537474e+02,1.595260840843403694e+00,1.187586242372112421e-03
4.433165829145728480e+02,1.594694061347629255e+00,1.212399053083327953e-03
4.454271356783919487e+02,1.594128793037131064e+00,1.230710400606232092e-03
4.475376884422110493e+02,1.593563779415210879e+00,1.242422236191516620e-03
4.496482412060301499e+02,1.592997759053907059e+00,1.247693497333651714e-03
4.517587939698492505e+02,1.592468206692415400e+00,1.246914211619279617e-03
4.538693467336683511e+02,1.591943076698474790e+00,1.240746811919190987e-03
4.559798994974873949e+02,1.591413691703730482e+00,1.230042300480504395e-03
4.580904522613064955e+02,1.590879306365997836e+00,1.215806189017852633e-03
4.602010050251255961e+02,1.590336783962639888e+00,1.199155657393648992e-03
4.623115577889446968e+02,1.589763628944129037e+00,1.181281001152838630e-03
4.644221105527637974e+02,1.589184597176729996e+00,1.163339196379769647e-03
4.665326633165828980e+02,1.588599846815935468e+00,1.146466470683948913e-03
4.686432160804019986e+02,1.588009731731314211e+00,1.131716998600355677e-03
4.707537688442210992e+02,1.587453956298029434e+00,1.120003538498665204e-03
4.728643216080401999e+02,1.586964522310445824e+00,1.112109081958014391e-03
4.749748743718593005e+02,1.586471647765675064e+00,1.108738650627701192e-03
4.770854271356784011e+02,1.585976144751016559e+00,1.110394275562884368e-03
4.791959798994975017e+02,1.585478857332570657e+00,1.117428581042072050e-03
4.813065326633166023e+02,1.585017211117679237e+00,1.130032905100040053e-03
4.834170854271357030e+02,1.584577975072323897e+00,1.148298483702530791e-03
4.855276381909547467e+02,1.584139444914633321e+00,1.172208470828243468e-03
4.876381909547738474e+02,1.583702382029332112e+00,1.201635252173551948e-03
4.897487437185929480e+02,1.583267499078966578e+00,1.236367362043248180e-03
4.918592964824120486e+02,1.582833597439617490e+00,1.276114384755842705e-03
4.939698492462311492e+02,1.582402892104936676e+00,1.320540071187122425e-03
4.960804020100502498e+02,1.581976188293392926e+00,1.369250412496766369e-03
4.981909547738693504e+02,1.581553987469544786e+00,1.421804853970855221e-03
5.003015075376884511e+02,1.581139452521142852e+00,1.477721754649145456e-03
5.024120603015074948e+02,1.580746548031978893e+00,1.536479905830586421e-03
5.045226130653265955e+02,1.580359337844820855e+00,1.597528713633186367e-03
5.066331658291456961e+02,1.579978111475316638e+00,1.660284117942695909e-03
5.087437185929647967e+02,1.579603101042643232e+00,1.724133420778783433e-03
5.108542713567838973e+02,1.579256687283281169e+00,1.788410189487706168e-03
5.129648241206029979e+02,1.578949427390333060e+00,1.852439083865076337e-03
5.150753768844220986e+02,1.578648698410291207e+00,1.915586526426012962e-03
5.171859296482411992e+02,1.578354466904543951e+00,1.977169285929020019e-03
5.192964824120602998e+02,1.578066624888468494e+00,2.036502642111403475e-03
5.214070351758794004e+02,1.577811716081515936e+00,2.092872036269223263e-03
5.235175879396985010e+02,1.577576112022742061e+00,2.145632198889537833e-03
5.256281407035176017e+02,1.577346109045284051e+00,2.194166058946387266e-03
5.277386934673367023e+02,1.577121293412203862e+00,2.237874890405477588e-03
5.298492462311558029e+02,1.576901180515778433e+00,2.276206316930861999e-03
5.319597989949747898e+02,1.576644081768150851e+00,2.308722259478774869e-03
5.340703517587940041e+02,1.576387367104896686e+00,2.334939131596509149e-03
5.361809045226129911e+02,1.576133543027785855e+00,2.354493795419922240e-03
5.382914572864322054e+02,1.575881911218638631e+00,2.367107335536335500e-03
5.404020100502511923e+02,1.575640984469243833e+00,2.372572383256818952e-03
5.425125628140704066e+02,1.575440045610685180e+00,2.370739831374947364e-03
5.446231155778893935e+02,1.575239070439744538e+00,2.361652613114268232e-03
5.467336683417084942e+02,1.575037315632946688e+00,2.345386473475286841e-03
5.488442211055275948e+02,1.574834057212374905e+00,2.322105077663699346e-03
5.509547738693466954e+02,1.574626694444431818e+00,2.292063553612728143e-03
